title,premiered,image_url,studios,type,rating,score,scored by,rank,popularity,members,favorites,genres
.hack//Tasogare no Udewa Densetsu,Winter 2003,https://cdn.myanimelist.net/images/anime/4/78321.jpg,Bee Train,TV,PG-13 - Teens 13 or older,6.62,29799,5216,1772,57362,163,Adventure;Comedy;Fantasy;Game;Sci-Fi;Shounen;
.hack//The Movie: Sekai no Mukou ni,,https://cdn.myanimelist.net/images/anime/2/35633.jpg,Anima,Movie,PG-13 - Teens 13 or older,7.19,6218,2800,3707,15162,24,Action;Adventure;Fantasy;Game;Magic;Mystery;Sci-Fi;
.hack//Unison,,https://cdn.myanimelist.net/images/anime/2/23078.jpg,Bee Train,Special,PG-13 - Teens 13 or older,6.72,9697,4744,3236,20219,16,Adventure;Comedy;Fantasy;Game;Magic;Sci-Fi;
_Summer,,https://cdn.myanimelist.net/images/anime/11/75131.jpg,Rikuentai,OVA,PG-13 - Teens 13 or older,5.74,4339,8537,4695,8581,5,Drama;Harem;Romance;
_Summer Specials,,https://cdn.myanimelist.net/images/anime/3/75133.jpg,Rikuentai,Special,PG-13 - Teens 13 or older,5.45,1259,9182,7416,2630,1,Harem;
009 Re:Cyborg,,https://cdn.myanimelist.net/images/anime/9/40189.jpg,Production I.G,Movie,PG-13 - Teens 13 or older,6.6,5040,5314,4023,12447,15,Action;Adventure;Mecha;Sci-Fi;
009-1,Fall 2006,https://cdn.myanimelist.net/images/anime/11/19998.jpg,Ishimori Entertainment,TV,R - 17+ (violence & profanity),6.3,4801,6710,3684,15357,23,Action;Mecha;Sci-Fi;Seinen;
07-Ghost,Spring 2009,https://cdn.myanimelist.net/images/anime/3/22605.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,7.29,81205,2407,683,166700,2175,Action;Demons;Fantasy;Josei;Magic;Military;
1+2=Paradise,,https://cdn.myanimelist.net/images/anime/2/3679.jpg,J.C.Staff,OVA,R+ - Mild Nudity,5.02,3051,9745,5311,6368,27,Comedy;Ecchi;Harem;Romance;Seinen;
100% Pascal-sensei (TV),Spring 2017,https://cdn.myanimelist.net/images/anime/10/86858.jpg,OLM,TV,PG - Children,5.77,479,8436,8168,1923,4,Comedy;
1000-nen Joou: Queen Millennia,,https://cdn.myanimelist.net/images/anime/1/2398.jpg,Toei Animation,Movie,PG-13 - Teens 13 or older,6.85,1082,4168,6918,3271,5,Adventure;Fantasy;Drama;Sci-Fi;
11eyes,Fall 2009,https://cdn.myanimelist.net/images/anime/6/73520.jpg,Doga Kobo,TV,R - 17+ (violence & profanity),6.25,99914,6911,592,188898,479,Action;Ecchi;Super Power;Supernatural;
11eyes Picture Drama,,https://cdn.myanimelist.net/images/anime/6/54569.jpg,Doga Kobo,Special,PG-13 - Teens 13 or older,5.63,1230,8784,6383,4029,5,Comedy;
11eyes: Momoiro Genmutan,,https://cdn.myanimelist.net/images/anime/12/22784.jpg,Doga Kobo,Special,R+ - Mild Nudity,6.11,20510,7498,2401,35193,32,Ecchi;Comedy;Super Power;Supernatural;
11-nin Iru!,,https://cdn.myanimelist.net/images/anime/1771/96658.jpg,Magic Bus,Movie,PG-13 - Teens 13 or older,7.12,3107,3110,4991,7354,30,Action;Adventure;Drama;Mystery;Romance;Sci-Fi;Shoujo;Space;
12-sai.,,https://cdn.myanimelist.net/images/anime/6/61783.jpg,SynergySP,OVA,PG - Children,6.34,2705,6522,4452,9766,24,Romance;School;Shoujo;
12-sai. 2nd Season,,https://cdn.myanimelist.net/images/anime/13/76326.jpg,SynergySP,OVA,PG - Children,6.27,862,6838,6889,3313,4,Romance;School;Shoujo;
12-sai.: Chicchana Mune no Tokimeki,Spring 2016,https://cdn.myanimelist.net/images/anime/11/78391.jpg,OLM,TV,PG - Children,6.48,9735,5883,3049,22772,43,Romance;School;Shoujo;
12-sai.: Chicchana Mune no Tokimeki 2nd Season,Fall 2016,https://cdn.myanimelist.net/images/anime/10/80312.jpg,OLM,TV,PG - Children,6.68,4416,4935,4258,10838,21,Romance;School;Shoujo;
15 Bishoujo Hyouryuuki,,https://cdn.myanimelist.net/images/anime/13/31333.jpg,T-Rex,OVA,Rx - Hentai,6.87,7489,,3394,18328,216,Comedy;Harem;Hentai;
18if,Summer 2017,https://cdn.myanimelist.net/images/anime/7/86743.jpg,Gonzo,TV,R - 17+ (violence & profanity),6.24,13143,6972,2208,40968,72,Mystery;Supernatural;
1-gatsu ni wa Christmas,,https://cdn.myanimelist.net/images/anime/11/46845.jpg,Magic Bus,OVA,G - All Ages,5.84,198,8270,10535,666,1,Drama;Romance;
21 Emon,Spring 1991,https://cdn.myanimelist.net/images/anime/11/69883.jpg,Shin-Ei Animation,TV,G - All Ages,6.25,146,6912,10772,599,2,Space;Comedy;Sci-Fi;
21 Emon Uchuu e Irasshai!,,https://cdn.myanimelist.net/images/anime/1969/96654.jpg,Shin-Ei Animation,Movie,G - All Ages,,,10133,11618,413,7,Space;Comedy;Sci-Fi;
21 Emon Uchuu ike! Hadashi no Princess,,https://cdn.myanimelist.net/images/anime/13/13278.jpg,Shin-Ei Animation,Movie,G - All Ages,,,10134,11311,472,11,Space;Comedy;Sci-Fi;
24H,,https://cdn.myanimelist.net/images/anime/1114/98952.jpg,Polygon Pictures,Music,PG-13 - Teens 13 or older,,,10138,10907,565,0,Music;
25-sai no Joshikousei,Winter 2018,https://cdn.myanimelist.net/images/anime/12/89091.jpg,Lilix,TV,R+ - Mild Nudity,5.57,6938,8930,2993,23607,124,Ecchi;Romance;School;
300 En no Otsukiai Anime Edition,,https://cdn.myanimelist.net/images/anime/1009/103788.jpg,Chippai,OVA,Rx - Hentai,6.38,2283,,5817,5088,38,Hentai;
30-sai no Hoken Taiiku,Spring 2011,https://cdn.myanimelist.net/images/anime/2/81172.jpg,Gathering,TV,R - 17+ (violence & profanity),6.75,20566,4602,1984,48545,66,Ecchi;Parody;Romance;Seinen;
30-sai no Hoken Taiiku Specials,,https://cdn.myanimelist.net/images/anime/4/55889.jpg,Gathering,Special,R - 17+ (violence & profanity),6.27,1441,6838,5885,4929,2,Ecchi;Parody;Romance;Seinen;
30th Gundam Perfect Mission,,https://cdn.myanimelist.net/images/anime/9/63385.jpg,Sunrise,OVA,G - All Ages,6.92,2733,3918,5637,5488,13,Mecha;Sci-Fi;
3D Kanojo: Real Girl,Spring 2018,https://cdn.myanimelist.net/images/anime/1327/93616.jpg,Hoods Entertainment,TV,PG-13 - Teens 13 or older,6.78,62156,4456,794,144834,653,Romance;School;Shoujo;
3D Kanojo: Real Girl 2nd Season,Winter 2019,https://cdn.myanimelist.net/images/anime/1941/97219.jpg,Hoods Entertainment,TV,PG-13 - Teens 13 or older,7.71,28863,1026,1607,65881,491,Romance;School;Shoujo;
3D Onara Gorou ga Dance Dance Dance!!,,https://cdn.myanimelist.net/images/anime/12/81039.jpg,ILCA,Music,G - All Ages,3.55,1157,10091,8336,1793,7,Comedy;Music;
3-gatsu no Lion,Fall 2016,https://cdn.myanimelist.net/images/anime/6/82898.jpg,Shaft,TV,PG-13 - Teens 13 or older,8.45,122264,121,315,321739,7831,Drama;Game;Seinen;Slice of Life;
3-gatsu no Lion 2nd Season,Fall 2017,https://cdn.myanimelist.net/images/anime/3/88469.jpg,Shaft,TV,PG-13 - Teens 13 or older,9.04,82007,10,619,179907,6939,Drama;Game;Seinen;Slice of Life;
3-gatsu no Lion Recap,,https://cdn.myanimelist.net/images/anime/9/83593.jpg,Shaft,Special,PG-13 - Teens 13 or older,6.73,5431,4694,4315,10565,11,Drama;
3-Nen D-Gumi Glass no Kamen,Fall 2016,https://cdn.myanimelist.net/images/anime/7/85641.jpg,DLE,TV,PG - Children,4.88,620,9847,8380,1752,3,Comedy;Parody;School;
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,,https://cdn.myanimelist.net/images/anime/9/85972.jpg,DLE,Movie,PG - Children,,,10141,11087,524,2,Comedy;Parody;School;
3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,,https://cdn.myanimelist.net/images/anime/1384/103789.jpg,Office Takeout,OVA,Rx - Hentai,6.98,3749,,4641,8852,81,Hentai;
3x3 Eyes,,https://cdn.myanimelist.net/images/anime/4/26940.jpg,Toei Animation,OVA,R - 17+ (violence & profanity),6.81,9769,4319,3164,21052,97,Action;Demons;Fantasy;Horror;Romance;
3x3 Eyes: Seima Densetsu,,https://cdn.myanimelist.net/images/anime/7/12744.jpg,Studio Junio,OVA,R - 17+ (violence & profanity),7.01,5974,3559,4163,11544,43,Action;Adventure;Horror;Demons;Romance;Fantasy;
47 Todoufuken,Spring 2011,https://cdn.myanimelist.net/images/anime/11/67133.jpg,Pollyanna Graphics,TV,G - All Ages,,,10145,12283,308,0,Kids;Comedy;
47 Todoufuken Specials,,https://cdn.myanimelist.net/images/anime/8/71643.jpg,Pollyanna Graphics,Special,G - All Ages,,,10147,13315,219,0,Kids;Comedy;Romance;
48x61,,https://cdn.myanimelist.net/images/anime/5/30453.jpg,Madhouse,ONA,PG-13 - Teens 13 or older,5.37,808,9325,8822,1475,0,Sports;Comedy;
4-Day Weekend,,https://cdn.myanimelist.net/images/anime/8/81173.jpg,Studio 4°C,Music,G - All Ages,5.71,1622,8588,7459,2588,1,Music;
5-toubun no Hanayome,Winter 2019,https://cdn.myanimelist.net/images/anime/1819/97947.jpg,Tezuka Productions,TV,PG-13 - Teens 13 or older,7.62,124971,1260,469,231580,3312,Harem;Comedy;Romance;School;Shounen;
5-toubun no Hanayome ∬,Fall 2020,https://cdn.myanimelist.net/images/anime/1234/106118.jpg,Bibury Animation Studios,TV,PG-13 - Teens 13 or older,,,,1527,71651,643,Harem;Comedy;Romance;School;Shounen;
6 Angels,,https://cdn.myanimelist.net/images/anime/6/36019.jpg,Arcturus,ONA,R+ - Mild Nudity,4.52,874,10006,7413,2632,1,Action;Sci-Fi;
7 Seeds,,https://cdn.myanimelist.net/images/anime/1305/96703.jpg,Gonzo,ONA,R+ - Mild Nudity,6.46,12782,5987,2448,34040,97,Sci-Fi;Adventure;Mystery;Psychological;Drama;Romance;Shoujo;
8-gatsu no Symphony: Shibuya 2002-2003,,https://cdn.myanimelist.net/images/anime/9/17359.jpg,WAO World,Movie,PG-13 - Teens 13 or older,6.69,225,4890,9374,1152,0,Music;
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,,https://cdn.myanimelist.net/images/anime/1675/90392.jpg,Seven,OVA,Rx - Hentai,6.44,1781,,5844,5020,34,Hentai;Supernatural;
91 Days,Summer 2016,https://cdn.myanimelist.net/images/anime/13/80515.jpg,Shuka,TV,R - 17+ (violence & profanity),7.85,158990,733,281,351234,3764,Action;Drama;Historical;
91 Days Recap,,https://cdn.myanimelist.net/images/anime/13/81707.jpg,Shuka,Special,R - 17+ (violence & profanity),6.37,10171,6399,3336,18963,7,Action;Historical;Drama;
91 Days Special,,https://cdn.myanimelist.net/images/anime/3/87263.jpg,Shuka,Special,R - 17+ (violence & profanity),6.88,14628,4056,2713,28317,21,Action;Historical;Drama;
91 Daze,,https://cdn.myanimelist.net/images/anime/9/88885.jpg,Shuka,Special,PG-13 - Teens 13 or older,5.7,767,8618,7976,2102,2,Comedy;Historical;
A Kite,,https://cdn.myanimelist.net/images/anime/5/85959.jpg,Arms,OVA,Rx - Hentai,6.6,22042,,2182,41717,184,Action;Hentai;Police;Drama;
A New Journey,,https://cdn.myanimelist.net/images/anime/1549/98385.jpg,P.A. Works,ONA,PG-13 - Teens 13 or older,6.45,704,6033,9199,1260,5,Action;Game;
A Tang Qi Yu,,https://cdn.myanimelist.net/images/anime/1401/90236.jpg,Light Chaser Animation Studios,Movie,G - All Ages,,,10151,14203,169,0,Adventure;Comedy;Kids;
A.D. Police (TV),Spring 1999,https://cdn.myanimelist.net/images/anime/2/15440.jpg,Plum,TV,PG-13 - Teens 13 or older,6.05,2951,7690,4776,8259,12,Action;Sci-Fi;Mecha;Shounen;
A.I.C.O.: Incarnation,,https://cdn.myanimelist.net/images/anime/1921/91085.jpg,Bones,ONA,R - 17+ (violence & profanity),6.76,25298,4555,1727,59508,133,Action;Sci-Fi;
ēlDLIVE,Winter 2017,https://cdn.myanimelist.net/images/anime/8/82348.jpg,Studio Pierrot,TV,PG-13 - Teens 13 or older,6.22,12633,7059,2294,38551,49,Action;Sci-Fi;Space;Police;Shounen;
A3! Season Spring & Summer,Winter 2020,https://cdn.myanimelist.net/images/anime/1421/105605.jpg,P.A. Works,TV,PG-13 - Teens 13 or older,6.44,872,6079,4999,7338,67,Music;
Aa Harimanada,Spring 1992,https://cdn.myanimelist.net/images/anime/10/21286.jpg,E&G Films,TV,PG-13 - Teens 13 or older,6.19,302,7174,9401,1136,6,Sports;Martial Arts;Seinen;
Aa! Megami-sama! Movie,,https://cdn.myanimelist.net/images/anime/5/71211.jpg,AIC,Movie,PG-13 - Teens 13 or older,7.59,19784,1331,2372,35724,103,Comedy;Magic;Romance;Seinen;Supernatural;
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Spring 1998,https://cdn.myanimelist.net/images/anime/1/303.jpg,OLM,TV,G - All Ages,6.93,8170,3885,3333,18997,37,Comedy;Magic;Supernatural;
Aa! Megami-sama!: Sorezore no Tsubasa,Spring 2006,https://cdn.myanimelist.net/images/anime/4/78931.jpg,AIC,TV,PG-13 - Teens 13 or older,7.61,29055,1288,1860,53635,181,Comedy;Magic;Romance;Seinen;Supernatural;
Abarenbou Rikishi!! Matsutarou,Spring 2014,https://cdn.myanimelist.net/images/anime/7/65897.jpg,Toei Animation,TV,PG-13 - Teens 13 or older,6.13,2709,7418,4974,7426,8,Sports;Seinen;
Abashiri Ikka,,https://cdn.myanimelist.net/images/anime/1492/94195.jpg,Studio Pierrot,OVA,R+ - Mild Nudity,5.46,1183,9142,6970,3209,9,Action;Comedy;Shounen;
Abenobashi Mahou☆Shoutengai,Spring 2002,https://cdn.myanimelist.net/images/anime/1145/92325.jpg,Gainax,TV,R+ - Mild Nudity,7.28,27019,2410,1601,66268,303,Comedy;Parody;Ecchi;Fantasy;
Absolute Duo,Winter 2015,https://cdn.myanimelist.net/images/anime/4/68839.jpg,8bit,TV,R - 17+ (violence & profanity),6.63,193055,5172,288,346569,1309,Action;Harem;Supernatural;Romance;Ecchi;School;
Abunai Sisters: Koko & Mika,,https://cdn.myanimelist.net/images/anime/4/57069.jpg,Production I.G,OVA,R+ - Mild Nudity,2.59,1642,10112,6870,3339,20,Action;Comedy;Ecchi;
ACCA: 13-ku Kansatsu-ka,Winter 2017,https://cdn.myanimelist.net/images/anime/3/83776.jpg,Madhouse,TV,PG-13 - Teens 13 or older,7.7,43824,1047,1110,102493,849,Mystery;Police;Drama;Fantasy;Seinen;
ACCA: 13-ku Kansatsu-ka - Regards,,https://cdn.myanimelist.net/images/anime/1096/101628.jpg,Madhouse,OVA,PG-13 - Teens 13 or older,7.07,486,3357,5206,6704,6,Mystery;Police;Drama;Fantasy;Seinen;
ACCA: 13-ku Kansatsu-ka Specials,,https://cdn.myanimelist.net/images/anime/11/86168.jpg,Madhouse,Special,PG-13 - Teens 13 or older,6.76,1330,4556,5350,6284,7,Slice of Life;Seinen;
Accel World,Spring 2012,https://cdn.myanimelist.net/images/anime/8/38155.jpg,Sunrise,TV,PG-13 - Teens 13 or older,7.41,279359,1898,129,524466,3987,Action;Game;Sci-Fi;Romance;School;
Accel World EX,,https://cdn.myanimelist.net/images/anime/10/41815.jpg,Sunrise,OVA,PG-13 - Teens 13 or older,7.2,47978,2761,1240,90233,105,Action;Game;Sci-Fi;Romance;School;
Accel World: Acchel World.,,https://cdn.myanimelist.net/images/anime/10/38469.jpg,J.C.Staff,Special,PG-13 - Teens 13 or older,6.26,16003,6876,2411,34820,29,Sci-Fi;Comedy;
Accel World: Infinite∞Burst,,https://cdn.myanimelist.net/images/anime/5/87145.jpg,Sunrise,Movie,PG-13 - Teens 13 or older,6.72,18635,4746,1936,50360,80,Action;Game;Sci-Fi;Romance;School;
Accelerando: Datenshi-tachi no Sasayaki,,https://cdn.myanimelist.net/images/anime/1137/103881.jpg,Flavors Soft,OVA,Rx - Hentai,6.89,4325,,4292,10673,75,Hentai;
Acchi Kocchi (TV),Spring 2012,https://cdn.myanimelist.net/images/anime/5/46489.jpg,AIC,TV,PG-13 - Teens 13 or older,7.56,99004,1424,511,216536,2182,Slice of Life;Comedy;Romance;School;
Acchi Kocchi (TV): Place=Princess,,https://cdn.myanimelist.net/images/anime/12/43823.jpg,AIC,Special,PG-13 - Teens 13 or older,7.54,24374,1482,2121,43444,67,Slice of Life;Comedy;Romance;School;
Ace wo Nerae!,Fall 1973,https://cdn.myanimelist.net/images/anime/1414/91264.jpg,Madhouse,TV,PG-13 - Teens 13 or older,7.04,1790,3438,4953,7526,49,Sports;Drama;Romance;School;Shoujo;
Ace wo Nerae! (1979),,https://cdn.myanimelist.net/images/anime/11/32785.jpg,Madhouse,Movie,PG-13 - Teens 13 or older,6.85,1061,4169,7454,2588,6,Sports;Drama;Romance;School;Shoujo;
Ace wo Nerae! 2,,https://cdn.myanimelist.net/images/anime/6/71785.jpg,Annapuru,OVA,PG-13 - Teens 13 or older,6.77,396,4509,8574,1630,10,Drama;Shoujo;Sports;
Acerola-chan,,https://cdn.myanimelist.net/images/anime/4/80597.jpg,DLE,ONA,G - All Ages,,,10156,13488,210,0,Comedy;
A-Channel,Spring 2011,https://cdn.myanimelist.net/images/anime/5/29687.jpg,Studio Gokumi,TV,PG-13 - Teens 13 or older,7,35237,3601,1380,81225,315,Comedy;School;Seinen;Slice of Life;
A-Channel: +A-Channel,,https://cdn.myanimelist.net/images/anime/9/29573.jpg,Studio Gokumi,Special,PG-13 - Teens 13 or older,6.99,8090,3644,3578,16506,14,Comedy;School;Slice of Life;Seinen;
A-Channel: Nabe wo Tabeyou,,https://cdn.myanimelist.net/images/anime/9/84989.jpg,Studio Gokumi,Special,PG-13 - Teens 13 or older,6.92,1692,3919,5528,5761,0,Comedy;School;Seinen;Slice of Life;
A-Channel+smile,,https://cdn.myanimelist.net/images/anime/12/35321.jpg,Studio Gokumi,OVA,PG-13 - Teens 13 or older,7.15,9538,2978,3357,18753,14,Comedy;School;Seinen;Slice of Life;
Action Heroine Cheer Fruits,Summer 2017,https://cdn.myanimelist.net/images/anime/12/86741.jpg,Diomedea,TV,PG-13 - Teens 13 or older,6.57,2867,5444,4327,10473,16,Comedy;School;Slice of Life;
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,Winter 2016,https://cdn.myanimelist.net/images/anime/3/77977.jpg,Production IMS,TV,PG-13 - Teens 13 or older,5.91,15938,8066,1934,50415,58,Comedy;Mecha;Police;Sci-Fi;
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Summer 2016,https://cdn.myanimelist.net/images/anime/2/80341.jpg,Production IMS,TV,PG-13 - Teens 13 or older,6.43,6079,6129,3553,16713,14,Sci-Fi;Comedy;Police;Mecha;
Actors: Songs Connection,Fall 2019,https://cdn.myanimelist.net/images/anime/1383/103339.jpg,Drive,TV,PG-13 - Teens 13 or older,6.21,1513,7092,4872,7836,40,Music;School;
AD Police,,https://cdn.myanimelist.net/images/anime/13/2851.jpg,AIC,OVA,R+ - Mild Nudity,6.32,4179,6625,4271,10787,11,Sci-Fi;Adventure;Mystery;Dementia;Police;Psychological;Thriller;Mecha;
Adachi-ga Hara,,https://cdn.myanimelist.net/images/anime/13/81675.jpg,Tezuka Productions,Movie,PG-13 - Teens 13 or older,6.12,389,7452,9661,1003,0,Sci-Fi;
Adesugata Mahou no Sannin Musume,,https://cdn.myanimelist.net/images/anime/1477/104687.jpg,Studio Pierrot,OVA,PG-13 - Teens 13 or older,5.42,260,9235,9851,913,0,Magic;Comedy;Shoujo;
Adobe Student and Teacher Edition,,https://cdn.myanimelist.net/images/anime/1712/95535.jpg,Saigo no Shudan,Special,G - All Ages,,,10159,14413,158,3,Dementia;
Aesop's World,Spring 1999,https://cdn.myanimelist.net/images/anime/8/72148.jpg,Sunrise,TV,G - All Ages,5.9,116,8096,11490,434,0,Kids;
Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,,https://cdn.myanimelist.net/images/anime/3/66027.jpg,Toei Animation,OVA,G - All Ages,,,10162,12491,284,4,Historical;Kids;
Afghanistan Paghman-mura no Monogatari: Sekaiichi Utsukushii Boku no Mura,,https://cdn.myanimelist.net/images/anime/4/66025.jpg,Toei Animation,OVA,G - All Ages,,,10163,12270,309,1,Historical;Kids;
Afraid To Be Cool / Raise Me Up,,https://cdn.myanimelist.net/images/anime/1454/99043.jpg,HOTZIPANG,Music,G - All Ages,,,10164,14221,168,1,Music;
Africa no Salaryman (TV),Fall 2019,https://cdn.myanimelist.net/images/anime/1937/102309.jpg,HOTZIPANG,TV,PG-13 - Teens 13 or older,6.56,3263,5493,3801,14366,24,Slice of Life;Comedy;
Afro Samurai,Spring 2007,https://cdn.myanimelist.net/images/anime/3/15874.jpg,Gonzo,TV,R+ - Mild Nudity,7.37,125641,2046,493,222626,1277,Action;Adventure;Samurai;
Afro Samurai Movie,,https://cdn.myanimelist.net/images/anime/8/38065.jpg,Gonzo,Movie,R+ - Mild Nudity,7.55,21396,1454,2244,39959,96,Action;Adventure;Samurai;
Afro Samurai Pilot,,https://cdn.myanimelist.net/images/anime/3/67723.jpg,Madhouse,Special,R+ - Mild Nudity,6.77,3090,4511,5145,6890,9,Action;Martial Arts;Samurai;Seinen;
Afro Samurai: Resurrection,,https://cdn.myanimelist.net/images/anime/6/77929.jpg,Gonzo,Movie,R+ - Mild Nudity,7.39,42960,1973,1515,71877,165,Action;Adventure;Samurai;
Agatha Christie no Meitantei Poirot to Marple,Summer 2004,https://cdn.myanimelist.net/images/anime/6/3149.jpg,OLM,TV,G - All Ages,6.89,1434,4017,5545,5722,15,Historical;Mystery;
Aggressive Retsuko,Spring 2016,https://cdn.myanimelist.net/images/anime/2/84193.jpg,Fanworks,TV,PG-13 - Teens 13 or older,7.65,15323,1173,2054,46256,263,Music;Slice of Life;Comedy;
Aggressive Retsuko (ONA),,https://cdn.myanimelist.net/images/anime/12/89288.jpg,Fanworks,ONA,PG-13 - Teens 13 or older,7.77,45224,908,1501,72657,528,Slice of Life;Comedy;
Aggressive Retsuko (ONA) 2nd Season,,https://cdn.myanimelist.net/images/anime/1739/101117.jpg,Fanworks,ONA,PG-13 - Teens 13 or older,7.85,18904,734,2522,32344,93,Slice of Life;Comedy;
Aggressive Retsuko: We Wish You a Metal Christmas,,https://cdn.myanimelist.net/images/anime/1435/97291.jpg,Fanworks,ONA,PG-13 - Teens 13 or older,7.33,14024,2239,3119,21678,14,Slice of Life;Comedy;
A-Girl,,https://cdn.myanimelist.net/images/anime/12/82178.jpg,Madhouse,OVA,PG-13 - Teens 13 or older,5.66,580,8714,8636,1589,6,Music;Romance;School;Shoujo;
Agukaru,,https://cdn.myanimelist.net/images/anime/8/26860.jpg,Studio PuYUKAI,ONA,PG - Children,5.29,271,9424,9222,1242,0,Magic;Supernatural;Slice of Life;
Agukaru: Play with Ibaraki-hen Episode 0,,https://cdn.myanimelist.net/images/anime/3/73822.jpg,Studio PuYUKAI,ONA,G - All Ages,,,10172,12539,280,1,Magic;Slice of Life;Supernatural;
Aguu: Tensai Ningyou,Summer 2018,https://cdn.myanimelist.net/images/anime/1208/92825.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,5.57,1392,8932,5652,5457,7,Action;Drama;Supernatural;
Ahiru no Sora,Fall 2019,https://cdn.myanimelist.net/images/anime/1505/102719.jpg,Diomedea,TV,None,7.45,16596,1748,1498,72703,270,Comedy;Sports;Drama;School;Shounen;
Aho Girl,Summer 2017,https://cdn.myanimelist.net/images/anime/7/86665.jpg,Diomedea,TV,PG-13 - Teens 13 or older,7.07,131848,3317,413,249489,744,Comedy;Romance;School;Shounen;
Ai City,,https://cdn.myanimelist.net/images/anime/10/9864.jpg,AIC,Movie,PG-13 - Teens 13 or older,5.76,1371,8464,6361,4061,9,Action;Super Power;Sci-Fi;
Ai Monogatari: 9 Love Stories,,https://cdn.myanimelist.net/images/anime/5/2646.jpg,Studio Deen,OVA,PG-13 - Teens 13 or older,6.68,997,4936,6956,3225,6,Drama;Romance;
Ai no Gakkou Cuore Monogatari,Spring 1981,https://cdn.myanimelist.net/images/anime/10/6839.jpg,Nippon Animation,TV,G - All Ages,6.68,386,4937,8644,1583,6,Slice of Life;Historical;Drama;School;
Ai no Kusabi,,https://cdn.myanimelist.net/images/anime/8/6531.jpg,AIC,OVA,R+ - Mild Nudity,7.2,15609,,2695,28525,387,Drama;Romance;Sci-Fi;Yaoi;
Ai no Kusabi (2012),,https://cdn.myanimelist.net/images/anime/7/75531.jpg,AIC,OVA,R+ - Mild Nudity,6.76,11388,,2901,25067,105,Drama;Romance;Sci-Fi;Yaoi;
Ai no Wakakusa Monogatari,Winter 1987,https://cdn.myanimelist.net/images/anime/2/3210.jpg,Nippon Animation,TV,G - All Ages,7.45,1988,1751,5608,5560,30,Drama;Historical;Slice of Life;
Ai no Wakakusa Monogatari Specials,,https://cdn.myanimelist.net/images/anime/6/42395.jpg,Nippon Animation,Special,G - All Ages,6.41,114,6209,11330,469,0,Drama;Historical;Slice of Life;
Ai no Wakakusa Yama Monogatari,Summer 1999,https://cdn.myanimelist.net/images/anime/9/13279.jpg,Gainax,TV,G - All Ages,6.14,172,7368,10049,828,0,Comedy;
